mmsi,msr,spc,sdr,port_dwell,port_interval,turn_nonport,san_port_dwell,san_of_port
273270560,0.064456,0.4432,0.093347,0.159201,0.0649,4.975747,5e-05,0.0
667001290,0.064862,0.3524,0.182745,0.091036,0.1834,0.89873,0.003653,0.039713
525119111,0.0649,0.5357,0.357886,0.333987,0.2299,1.926079,7.6e-05,0.0
647553034,0.065101,0.7432,0.478223,0.803704,0.0575,1.5202,0.000705,0.000664
613004310,0.065187,0.3568,0.065456,0.078679,0.1541,1.174481,0.019705,0.25
631010070,0.065457,0.2175,0.173708,0.039905,0.1035,1.011576,0.0001,0.0
636018917,0.06569,0.3374,0.108839,0.100601,0.0539,1.93398,6.5e-05,0.00033
352005852,0.065848,0.434,0.186844,0.16848,0.1751,1.10479,0.003787,0.022306
273279840,0.065999,0.4383,0.131547,0.08774,0.0982,1.633436,0.004068,0.046071
352005238,0.066004,0.286,0.049604,0.049962,0.1849,1.083698,0.0024,0.047456
273250830,0.066022,0.3719,0.145752,0.073535,0.0503,1.563691,4.4e-05,0.0
525008066,0.066185,0.4428,0.244765,0.441642,0.3963,1.873526,9e-05,0.0
461000255,0.066825,0.4412,0.280498,0.111576,0.0923,1.508144,0.011515,0.102501
273257910,0.067865,0.2842,0.073064,0.094032,0.0326,2.097704,3.5e-05,0.0
461000285,0.068109,0.4423,0.433465,0.135986,0.1543,1.446874,0.021485,0.157739
525108035,0.068301,0.4349,0.230968,0.308371,0.0731,2.45237,6.9e-05,0.0
570292000,0.068521,0.6182,0.408246,0.056651,0.0757,1.77525,0.00014,0.0
750931000,0.068776,0.3374,0.527299,0.03003,0.0081,1.694349,3.8e-05,0.0
667001407,0.068935,0.5508,0.242869,0.075118,0.0431,1.597825,0.002677,0.034282
667002409,0.069133,0.4236,0.735847,0.059246,0.1551,4.963375,3.6e-05,0.0
636017817,0.070146,0.4143,0.267951,0.626569,0.8931,1.161911,3.2e-05,0.0
311000225,0.070351,0.4531,0.327626,0.113668,0.3992,6.726018,1.7e-05,0.0
613003573,0.07063,0.4038,0.125375,0.082106,0.0774,3.127165,0.002415,0.028965
667001798,0.070691,0.397,0.099648,0.097253,0.1635,3.228816,0.001545,0.015538
667002284,0.070966,0.4481,0.252316,0.126211,0.0366,2.273409,5.2e-05,0.0
422056300,0.071515,-0.0864,0.426918,0.04703,0.0,0.0,0.04703,0.0
574534000,0.071617,0.2639,0.917034,9.2e-05,0.0,2.186399,9.2e-05,0.0
352002241,0.072074,0.3283,0.054311,0.155564,0.0529,2.597664,0.001002,0.00613
620800034,0.072149,0.4721,0.540628,0.010444,0.0,1.649627,0.000175,0.0
461000252,0.073306,0.3302,0.315619,0.077533,0.0749,1.554175,0.002276,0.028559
352002775,0.073459,0.4341,0.08294,0.096369,0.2439,1.242352,0.004977,0.051287
613829601,0.073762,0.4833,0.227538,0.130967,0.0866,1.56509,0.003532,0.026787
538007962,0.073947,0.4131,0.217384,0.307712,0.3947,2.014998,3.2e-05,0.0
667002321,0.073959,0.5188,0.252845,0.158602,0.1745,3.363573,0.010245,0.064395
215466000,0.074395,0.4949,0.14741,0.161109,0.3169,1.756218,0.033456,0.207503
314001155,0.075006,0.5069,0.329458,0.163464,0.3303,1.168023,4.7e-05,0.000147
613007700,0.075511,0.6267,0.174256,0.142363,0.1725,1.828947,6.1e-05,0.0
613702110,0.076046,0.4044,0.110751,0.103956,0.1592,2.455919,0.004957,0.047393
273277840,0.076489,0.5338,0.131849,0.112642,0.1361,2.125415,0.000624,0.00524
248884000,0.077069,0.3921,0.22628,0.094431,0.2704,1.300725,0.000735,0.007509
210241000,0.077102,0.4384,0.219974,0.555677,1.1688,0.668146,4e-05,0.0
631010090,0.077171,0.5188,0.660617,0.063261,0.1144,2.577637,7.4e-05,0.0
